programme,source_folder,total_major_units,requirement_structure,core_competencies,supporting_or_optional_competencies,evidence_summary,overall_interpretation,limitations
Marketing and Communication,市场营销,63,"required courses, major electives, streams/specializations","Foundational disciplinary knowledge; Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Data, digital, and AI literacy; Research and methodological ability; Domain-specific professional knowledge; Practical application and industry readiness","Programming and computing ability; Communication, writing, and presentation","Foundational disciplinary knowledge: MGT2020 Principles of Management 管理原理 3; BMA4001 Introduction to Deep Lea rning for; CSC1001 Introduction to Computer Science:; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; MKT4930 Advanced Theory and Issues in Outdoor || Mathematical or quantitative reasoning: STA2001 Probability and Statistics I 概率及統計（一） 3; MKT3060 Quantitative Marketing Methods in the; BMA2020 Mathematical Modeling and; ECO3211 Quantitative Methods for Policy; MKT3060 Quantitative Marketing Methods in the AI || Statistical reasoning and empirical analysis: ECO2121 Introductory Statistics 統計學導論 3; STA2001 Probability and Statistics I 概率及統計（一） 3; BMA3002 Statistical Learning for Business 商業統計學習 3; ECO3121 Introductory Econometrics 計量經濟學導論 3; STA2002 Probability and Statistics II 概率及統計（二） 3 || Programming and computing ability: BMA2010 Programming for Business 商業編程 3 || Data, digital, and AI literacy: MKT3310 Marketing Analytics 數據驅動的營銷分析 3; MKT4180 Artificial Intelligence Applications in; MKT4220 Big Data Marketing 大數據營銷 3; MKT3320 Digital Consumer Analytics 数字消费者洞察 3; STA4030 Categorical Data Analysis 範疇性數據分析 3 || Research and methodological ability: MKT4120 Marketing Research 市場研究 3; MKT3060 Quantitative Marketing Methods in the; CSC1002 Computational Laboratory 計算機實驗 1; ECO3211 Quantitative Methods for Policy; MGT4188 Internship / Practicum / Research 實習/研究 3 || Communication, writing, and presentation: MKT3030 Integrated Marketing Communication 整合營銷傳播 3; Research in Marketing and Communication I / MKT4313 Directed Research in Marketing and || Domain-specific professional knowledge: ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3; FIN2010 Financial Management 財務管理 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Mathematical or quantitative reasoning, Statistical reasoning and empirical analysis, Data, digital, and AI literacy.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Applied Psychology,应用心理学,72,"required courses, major electives, streams/specializations","Foundational disciplinary knowledge; Research and methodological ability; Communication, writing, and presentation","Mathematical or quantitative reasoning; Language, textual, and cross-cultural competence; Domain-specific professional knowledge","Foundational disciplinary knowledge: HSS1006 Introduction to Sociology 社會學導論 3; HSS1008 Principles of Economics 經濟學原理 3; HSS1010 Principles of Political Science 政治學原理 3; HSS1011 Introduction to Social Science; PSY1010 Introduction to Psychology 心理學導論 3 || Mathematical or quantitative reasoning: PSY1020 Quantitative Methods (I) and; PSY2010 Quantitative Methods (II) 定量研究方法論 (II) 3 || Research and methodological ability: PSY1020 Quantitative Methods (I) and; PSY2010 Quantitative Methods (II) 定量研究方法論 (II) 3; PSY4020 Research Method and Writing I 研究方法與構寫研究報告 (I) 3; PSY4030 Research Method and Writing II 研究方法與構寫研究報告 (II) 3 || Communication, writing, and presentation: HSS1004 Advanced Academic Writing 高級學術寫作 3; PSY4020 Research Method and Writing I 研究方法與構寫研究報告 (I) 3; PSY4030 Research Method and Writing II 研究方法與構寫研究報告 (II) 3 || Language, textual, and cross-cultural competence: PSY3140 Cross-Cultural Psychology 跨文化心理學 3 || Domain-specific professional knowledge: HSS1008 Principles of Economics 經濟學原理 3; PSY4160 Clinical and Counselling Psychology 臨床與諮詢心理學 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Research and methodological ability, Communication, writing, and presentation.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Mathematics and Applied Mathematics,数学与应用数学,70,"required courses, major electives, streams/specializations","Mathematical or quantitative reasoning; Programming and computing ability; Data, digital, and AI literacy; Research and methodological ability; Domain-specific professional knowledge",Foundational disciplinary knowledge; Statistical reasoning and empirical analysis,"Foundational disciplinary knowledge: CSC1003 Introduction to Computer; DDA4250 Mathematical Introduction to Deep || Mathematical or quantitative reasoning: CSC3001 Discrete Mathematics 離散數學 3; RMS4050 Stochastic Calculus for Finance and; DDA4250 Mathematical Introduction to Deep || Statistical reasoning and empirical analysis: ECO3121 Introductory Econometrics 計量經濟學導論 3; PHY4260 Statistical Mechanics 統計力學 3 || Programming and computing ability: CSC3100 Data Structures 數據結構 3; CSC3002 C/C++ Programming C/C++程序設計 3; AIE3002 AI and Quantum Computing 人工智能與量子計算 3 || Data, digital, and AI literacy: CSC1006 Artificial Intelligence for; AIE4001 Machine Learning and; CSC3100 Data Structures 數據結構 3; DDA3020 Machine Learning 機器學習 3; FMA4200 Financial Data Analysis 金融數據分析 3 || Research and methodological ability: CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory; RMS4001 Simulation Methods for Risk || Domain-specific professional knowledge: Option H# CHM1001 General Chemistry 普通化學 3; Option I# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; BIO1001 General Biology 普通生物學 3; FMA4800 Financial Computation 金融計算 3; BIM3001 Bioinformatics 生物信息學 3","This programme appears to train students primarily in Mathematical or quantitative reasoning, Programming and computing ability, Data, digital, and AI literacy, Research and methodological ability.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Data Science and Big Data Technology,数据科学与大数据技术,70,"required courses, major electives, streams/specializations","Foundational disciplinary knowledge; Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Programming and computing ability; Data, digital, and AI literacy; Research and methodological ability; Domain-specific professional knowledge",,"Foundational disciplinary knowledge: CSC1001 Introduction to Computer Science:; DDA2001 Introduction to Data Science 數據科學基礎 3; DDA4250 Mathematical Introduction to Deep; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; MGT2020 Principles of Management 管理學原理 3 || Mathematical or quantitative reasoning: MAT1001 Calculus I 微積分（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT1011 Honours Calculus I 微積分榮譽課程（一） 3; MAT1012 Honours Calculus II 微積分榮譽課程（二） 3; MAT2041 Linear Algebra and Applications 線性代數與應用 3 || Statistical reasoning and empirical analysis: STA2001 Probability and Statistics I 概率及統計（一） 3; STA2002 Probability and Statistics II 概率及統計（二） 3; DDA4010 Bayesian Statistics 貝葉斯統計 3; STA3005 Statistical Computing 統計計算 3; STA3020 Statistical Inference 統計推斷 3 || Programming and computing ability: CSC3100 Data Structures 數據結構 3; STA3005 Statistical Computing 統計計算 3; CSC2003 Introduction to Java Programming Java 程序設計導論 3; CSC3002 C/C++ Programming C/C++程序設計 3; CSC4001 Software Engineering 軟件工程 3 || Data, digital, and AI literacy: DDA2001 Introduction to Data Science 數據科學基礎 3; CSC3100 Data Structures 數據結構 3; DDA3020 Machine Learning 機器學習 3; DDA3003 Visual Analytics 可視化分析 3; DDA4210 Advanced Machine Learning 高等機器學習 3 || Research and methodological ability: CSC1002 Computational Laboratory 計算機實驗 1; DDA3005 Numerical Methods 數值方法 3; DDA4080 Capstone Project 畢業設計 3; ECO3211 Quantitative Methods for Policy || Domain-specific professional knowledge: BIO1008 Chemistry and Life Sciences 化學與生命科學 3; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; ECO3211 Quantitative Methods for Policy; FMA4200 Financial Data Analysis 金融數據分析 3; FMA4800 Financial Computation 金融計算 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Mathematical or quantitative reasoning, Statistical reasoning and empirical analysis, Programming and computing ability.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
New Energy Science and Engineering,新能源科学与工程,72,"required courses, major electives, streams/specializations","Foundational disciplinary knowledge; Data, digital, and AI literacy; Research and methodological ability; Domain-specific professional knowledge",Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis,"Foundational disciplinary knowledge: Option C# CSC1001 Introduction to Computer Science:; CSC1003 Introduction to Computer Science; CHM3520 Introduction to Materials Science and; CHM3540 Introduction to Functional Materials 功能材料導論 3; ECE2001 Basic Circuit Theory 基本電路理論 3 || Mathematical or quantitative reasoning: Option F# STA2001 Probability and Statistics I 概率及統計（一） 3 || Statistical reasoning and empirical analysis: Option F# STA2001 Probability and Statistics I 概率及統計（一） 3; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3 || Data, digital, and AI literacy: CSC1006 Artificial Intelligence for Science; CHM4342 AI for Chemistry 化學中的人工智能 3; MSE3001 Computational Materials Science with AI 計算材料科學與人工智能 3; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3 || Research and methodological ability: CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory Using; ENE3002* Basic Laboratory of New Energy Science; ERG4901 Capstone Project Ⅰ 畢業設計（一） 3; CHM1002 Chemistry Laboratory 化學實驗 1 || Domain-specific professional knowledge: Option H# CHM1001 General Chemistry 普通化學 3; Option I# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; CHM2002 Physical Chemistry 物理化學 3; CHM3520 Introduction to Materials Science and; ENE3002* Basic Laboratory of New Energy Science","This programme appears to train students primarily in Foundational disciplinary knowledge, Data, digital, and AI literacy, Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Materials Science and Engineering,材料科学与工程,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge; Research and methodological ability; Domain-specific professional knowledge,"Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Programming and computing ability; Data, digital, and AI literacy","Foundational disciplinary knowledge: Option C# CSC1001 Introduction to Computer Science:; CSC1003 Introduction to Computer Science; CHM3520 Introduction to Materials Science and; MSE2001 Chemistry Foundation for Materials 材料的化學基礎 3; MSE2002 Physics Foundation for Materials 材料的物理基礎 3 || Mathematical or quantitative reasoning: Option F# STA2001 Probability and Statistics I 概率及統計（一） 3 || Statistical reasoning and empirical analysis: Option F# STA2001 Probability and Statistics I 概率及統計（一） 3 || Programming and computing ability: CSC3100 Data Structures 數據結構 3 || Data, digital, and AI literacy: CSC1006 Artificial Intelligence for Science; CSC3100 Data Structures 數據結構 3 || Research and methodological ability: CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory Using; MSE2003 Materials Laboratory I 材料實驗 I 2; MSE3003 Materials Laboratory II 材料實驗 II 1; MSE4020 Thesis 畢業設計 3 || Domain-specific professional knowledge: Option H# CHM1001 General Chemistry 普通化學 3; Option I# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; CHM3520 Introduction to Materials Science and; MSE2001 Chemistry Foundation for Materials 材料的化學基礎 3; MSE2002 Physics Foundation for Materials 材料的物理基礎 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
X (CUHK(SZ)) & Materials Science and Engineering (CUHK),材料科学与工程及X双主修课程_ X及材料科学与工程学双主修课程,90,"required courses, major electives, streams/specializations",Research and methodological ability; Domain-specific professional knowledge,,"Research and methodological ability: (excluding CHM1001/1011 and PHY1010), Research Component , and Major Elective; Research Component: CHM4510,; Research Component: ERG4902; Research Component: PHY4270 || Domain-specific professional knowledge: 4. For Chemistry as 1 st Major, all Major Required (excluding MAT1002 and PHY1010) ,; 5. For New Energy and Engineering as 1st Major, all Major Required (excluding CHM1002),; 6. For Physics as 1st Major, Faculty Package (MAT1001 and PHY1001), all Major Required; 6. 以物理學為第一主修，其學院課程(MAT1001 及 PHY1001)，所有列於第一主修課程","This programme appears to train students primarily in Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Physics,物理学,72,"required courses, major electives, streams/specializations","Foundational disciplinary knowledge; Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Data, digital, and AI literacy; Research and methodological ability; Domain-specific professional knowledge",Programming and computing ability,"Foundational disciplinary knowledge: CSC1003 Introduction to Computer; PHY1010 Principles of Physics II; PHY2020 Principles of Physics III; PHY3310 Electromagnetic Theory I 電磁學（一） 3; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3 || Mathematical or quantitative reasoning: Option E# STA2001 Probability and Statistics I 概率及統計（一） 3; PHY2610 Mathematical Methods in Physics I 數學物理方法（一） 3; PHY3610 Mathematical Methods in Physics II 數學物理方法（二） 3; PHY4610 Advanced Mathematical Methods in Physics 高等數學物理方法 3 || Statistical reasoning and empirical analysis: Option E# STA2001 Probability and Statistics I 概率及統計（一） 3; PHY4510 Statistical Mechanics and its; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3; PHY4510 Statistical Mechanics and its Applications 統計物理及應用 3; PHY3210 Experimental Physics Project Experience I 實驗物理課題（一） 1 || Programming and computing ability: CSC3002 C/C++ Programming C/C++程序設計 3; CSC3100 Data Structures 數據結構 3 || Data, digital, and AI literacy: CSC1006 Artificial Intelligence for; PHY2650 Computational Physics and AI Tools 計算物理與人工智能工; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3; CSC3100 Data Structures 數據結構 3 || Research and methodological ability: CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory; PHY1910 Physics Laboratory I 普通物理實驗（一） 2; PHY1920 Physics Laboratory II 普通物理實驗（二） 2; PHY2610 Mathematical Methods in Physics I 數學物理方法（一） 3 || Domain-specific professional knowledge: Option L# CHM1001 General Chemistry 普通化學 3; Option M# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; PHY1010 Principles of Physics II; PHY1910 Physics Laboratory I 普通物理實驗（一） 2; PHY1920 Physics Laboratory II 普通物理實驗（二） 2","This programme appears to train students primarily in Foundational disciplinary knowledge, Mathematical or quantitative reasoning, Statistical reasoning and empirical analysis, Data, digital, and AI literacy.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations","Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Programming and computing ability; Data, digital, and AI literacy; Research and methodological ability; Domain-specific professional knowledge; Practical application and industry readiness",Foundational disciplinary knowledge,"Foundational disciplinary knowledge: CSC1001 Introduction to Computer Science:; * The course title of CSC3002 is Introduction to Computer Science: Programming Paradigms for || Mathematical or quantitative reasoning: MAT1001 Calculus I 微積分（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT2040 Linear Algebra 線性代數 3; STA2001 Probability and Statistics I 概率及統計（一） 3; STA2002 Probability and Statistics II 概率及統計（二） 3 || Statistical reasoning and empirical analysis: STA2001 Probability and Statistics I 概率及統計（一） 3; BIM3014 Statistical Biological Database and Data; STA2002 Probability and Statistics II 概率及統計（二） 3; STA4012 Statistical Genetics and Genomics 統計遺傳和基因組學 3 || Programming and computing ability: CSC3002* C/C++ Programming C/C++程序設計 3; * The course title of CSC3002 is Introduction to Computer Science: Programming Paradigms for; 在 2022-23 學年第二学期及以後修讀 CSC3002，科目名稱為「C/C++程序設計」。 || Data, digital, and AI literacy: BIM3008 Machine Learning in Computational Biology 計算生物學中的機器學習 3; BIM3014 Statistical Biological Database and Data; CSC4008 Techniques for Data Mining 數據挖掘技術 3; DDA4210 Advanced Machine Learning 高等機器學習 3; DDA4220 Deep Learning and Applications 深度學習與應用 3 || Research and methodological ability: [b] 在選擇 BSC6003 時，學生需遵守學校關於本科生修讀研究生科目的相關規定。; CSC1002 Computational Laboratory 計算機實驗 1; BIO2101 Comprehensive Biology Laboratory 綜合生物學實驗 3; BIM3019 Computational Biology Laboratory 計算生物學實驗 2; BIM4003 Student Research and Innovation 學生科技創新項目 3 || Domain-specific professional knowledge: BIO1001 General Biology 普通生物學 3; CHM1001 General Chemistry 普通化學 3; BIM2005 Computational Biology 計算生物學 3; BIM3001 Bioinformatics 生物信息學 3; BIM3008 Machine Learning in Computational Biology 計算生物學中的機器學習 3 || Practical application and industry readiness: BIO3901 Research Internship I 研究實習（一） 1; BIO3902 Research Internship II 研究實習（二） 1; BIO3903 Research Internship III 研究實習（三） 1; BIO3904 Research Internship IV 研究實習（四） 1","This programme appears to train students primarily in Mathematical or quantitative reasoning, Statistical reasoning and empirical analysis, Programming and computing ability, Data, digital, and AI literacy.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge; Mathematical or quantitative reasoning; Research and methodological ability; Domain-specific professional knowledge; Practical application and industry readiness,"Statistical reasoning and empirical analysis; Programming and computing ability; Data, digital, and AI literacy; Language, textual, and cross-cultural competence","Foundational disciplinary knowledge: CSC1001 Introduction to Computer Science:; BME3001 Introduction to Biomedical; ECE2001* Basic Circuit Theory 基本電路理論 3; BME3003 Introduction to Biomedical; ERG4001 Principles of Entrepreneurship 創業原則 3 || Mathematical or quantitative reasoning: MAT1001 Calculus I 微積分（一） 3; MAT2040* Linear Algebra 線性代數 3; STA2001 Probability and Statistics I 概率及統計（一） 3 || Statistical reasoning and empirical analysis: STA2001 Probability and Statistics I 概率及統計（一） 3 || Programming and computing ability: CSC4001 Software Engineering 軟件工程 3 || Data, digital, and AI literacy: BIM3008 Machine Learning in Computational || Research and methodological ability: CSC1002 Computational Laboratory 計算機實驗 1; BIO2101 Comprehensive Biology Laboratory 綜合生物學實驗 3; BME4012 BME Final Year Project I 生物醫學工程畢業設計（一） 3; BME4013 BME Final Year Project II 生物醫學工程畢業設計（二） 3; CHM1002 Chemistry Laboratory 化學實驗 1 || Language, textual, and cross-cultural competence: BME4015 Medical Device Translational Design || Domain-specific professional knowledge: BIO1001 General Biology 普通生物學 3; CHM1001 General Chemistry 普通化學 3; BIO2002 Cell and Molecular Biology 細胞與分子生物學 3; BIO2101 Comprehensive Biology Laboratory 綜合生物學實驗 3; BME3001 Introduction to Biomedical","This programme appears to train students primarily in Foundational disciplinary knowledge, Mathematical or quantitative reasoning, Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biological Sciences,生物科学,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Research and methodological ability; Domain-specific professional knowledge; Practical application and industry readiness,Foundational disciplinary knowledge,Foundational disciplinary knowledge: CSC1001 Introduction to Computer Science:; PHM2004 Principles of Pharmacology and || Mathematical or quantitative reasoning: MAT1001 Calculus I 微積分（一） 3; MAT2040 Linear Algebra 線性代數 3; STA2001 Probability and Statistics I 概率與統計（一） 3; MAT1002 Calculus II 微積分（二） 3 || Statistical reasoning and empirical analysis: STA2001 Probability and Statistics I 概率與統計（一） 3; BIO3201 Biostatistics 生物統計學 3; BIO3301 Biostatistics Laboratory 生物統計學實驗 1 || Research and methodological ability: CSC1002 Computational Laboratory 計算機實驗 1; BIO2101 Comprehensive Biology Laboratory 綜合生物學實驗 3; BIO2104 Biochemistry Laboratory 生物化學實驗 3; BIO4901 Final Year Research Project I 畢業設計項目（一） 3; BIO4902 Final Year Research Project II 畢業設計項目（二） 3 || Domain-specific professional knowledge: BIO1001 General Biology 普通生物學 3; CHM1001 General Chemistry 普通化學 3; BIO2001 Bioethics 生物倫理學 1; BIO2002 Cell and Molecular Biology 細胞與分子生物學 3; BIO2004 Biochemistry 生物化學 3 || Practical application and industry readiness: BIO2205 Field Study of Ecology 野外生態實習 2; BIO3901 Research Internship I 研究實習（一） 1; BIO3902 Research Internship II 研究實習（二） 1; BIO3903 Research Internship III 研究實習（三） 1; BIO3904 Research Internship IV 研究實習（四） 1,"This programme appears to train students primarily in Mathematical or quantitative reasoning, Statistical reasoning and empirical analysis, Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
